"","track.id","artist.id","track.name","artist.name","track.popularity","artist.genres","artist.followes.total","artist.popularity","toplist.country"
"1073","3q3EBdrTrlF4PmJQTZ17ie","7cmuxPnXRJxwuYDHfbD8Eu","Onde Anda","Zé Felipe",61,"arrochadeira",3143846,72,"Portugual"
"1074","2DB4DdfCFMw1iaR6JaR03a","4nDoRrQiYLoBzwC5BhVJzF","Bam Bam (feat. Ed Sheeran)","Camila Cabello",83,"dance pop",26868942,83,"Portugual"
"1075","2DB4DdfCFMw1iaR6JaR03a","4nDoRrQiYLoBzwC5BhVJzF","Bam Bam (feat. Ed Sheeran)","Camila Cabello",83,"pop",26868942,83,"Portugual"
"1076","2DB4DdfCFMw1iaR6JaR03a","4nDoRrQiYLoBzwC5BhVJzF","Bam Bam (feat. Ed Sheeran)","Camila Cabello",83,"post-teen pop",26868942,83,"Portugual"
"1077","2DB4DdfCFMw1iaR6JaR03a","6eUKZXaKkcviH0Ku9w2n3V","Bam Bam (feat. Ed Sheeran)","Ed Sheeran",83,"pop",97986998,91,"Portugual"
"1078","2DB4DdfCFMw1iaR6JaR03a","6eUKZXaKkcviH0Ku9w2n3V","Bam Bam (feat. Ed Sheeran)","Ed Sheeran",83,"uk pop",97986998,91,"Portugual"
"1079","5bBQI31u2eqXJE5OyP4hxq","7BWNRZyZ9mhgp5t0m7Ny0n","EUROPA","Deejay Telio",50,"batida",174384,51,"Portugual"
"1080","5bBQI31u2eqXJE5OyP4hxq","7BWNRZyZ9mhgp5t0m7Ny0n","EUROPA","Deejay Telio",50,"funana",174384,51,"Portugual"
"1081","5bBQI31u2eqXJE5OyP4hxq","7BWNRZyZ9mhgp5t0m7Ny0n","EUROPA","Deejay Telio",50,"portuguese pop",174384,51,"Portugual"
"1082","5bBQI31u2eqXJE5OyP4hxq","7BWNRZyZ9mhgp5t0m7Ny0n","EUROPA","Deejay Telio",50,"rap angolano",174384,51,"Portugual"
"1083","5bBQI31u2eqXJE5OyP4hxq","68YeXpLt3jB7JHQS5ZjMGo","EUROPA","Teto",50,"trap baiano",1311011,74,"Portugual"
"1084","5bBQI31u2eqXJE5OyP4hxq","6XjHGcba7ZbaZ6nYtwhaCj","EUROPA","Gson",50,"hip hop tuga",18630,43,"Portugual"
"1085","4SIBZgMomGFnrIWjmq7Np8","0JjPiLQNgAFaEkwoy56B1C","Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho)","L7NNON",81,"pop rap brasileiro",1675626,75,"Portugual"
"1086","4SIBZgMomGFnrIWjmq7Np8","6f6ccYxDNgsPCMemKceSY4","Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho)","Os Hawaianos",81,"funk carioca",140717,63,"Portugual"
"1087","4SIBZgMomGFnrIWjmq7Np8","6f6ccYxDNgsPCMemKceSY4","Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho)","Os Hawaianos",81,"funk ostentacao",140717,63,"Portugual"
"1088","6bTdZ7xfKp3NqqADJ8HLyj","5nP8x4uEFjAAmDzwOEc9b8","Vampiro","Matuê",84,"r&b brasileiro",5122165,75,"Portugual"
"1089","6bTdZ7xfKp3NqqADJ8HLyj","5nP8x4uEFjAAmDzwOEc9b8","Vampiro","Matuê",84,"rap cearense",5122165,75,"Portugual"
"1090","6bTdZ7xfKp3NqqADJ8HLyj","5nP8x4uEFjAAmDzwOEc9b8","Vampiro","Matuê",84,"trap brasileiro",5122165,75,"Portugual"
"1091","6bTdZ7xfKp3NqqADJ8HLyj","3MrDVzg7ZXaYMyQmbDInr7","Vampiro","WIU",84,"trap brasileiro",148452,67,"Portugual"
"1092","6bTdZ7xfKp3NqqADJ8HLyj","68YeXpLt3jB7JHQS5ZjMGo","Vampiro","Teto",84,"trap baiano",1311011,74,"Portugual"
"1093","5TMLavqGRKNxgzMBrVpC9R","7eLcDZDYHXZCebtQmVFL25","Mon Amour - Remix","Aitana",85,"latin pop",2033866,75,"Portugual"
"1094","5TMLavqGRKNxgzMBrVpC9R","7eLcDZDYHXZCebtQmVFL25","Mon Amour - Remix","Aitana",85,"latin talent show",2033866,75,"Portugual"
"1095","5TMLavqGRKNxgzMBrVpC9R","7eLcDZDYHXZCebtQmVFL25","Mon Amour - Remix","Aitana",85,"spanish pop",2033866,75,"Portugual"
"1096","3gK5ckT0cq3t5enyqzzRgV","5wbf52LA6kcaboHSN6NEF1","GALOPA","PEDRO SAMPAIO",67,"funk carioca",1613374,72,"Portugual"
"1097","7afaZ37wJJL6880z1NRgJS","68YeXpLt3jB7JHQS5ZjMGo","Fim de Semana no Rio","Teto",82,"trap baiano",1311011,74,"Portugual"
"1098","4PQdrXMDHDPl1RczrrlADd","3qvcCP2J0fWi0m0uQDUf6r","MORENA","Luan Santana",72,"arrocha",6131408,75,"Portugual"
"1099","4PQdrXMDHDPl1RczrrlADd","3qvcCP2J0fWi0m0uQDUf6r","MORENA","Luan Santana",72,"sertanejo",6131408,75,"Portugual"
"1100","4PQdrXMDHDPl1RczrrlADd","3qvcCP2J0fWi0m0uQDUf6r","MORENA","Luan Santana",72,"sertanejo pop",6131408,75,"Portugual"
"1101","4PQdrXMDHDPl1RczrrlADd","3qvcCP2J0fWi0m0uQDUf6r","MORENA","Luan Santana",72,"sertanejo universitario",6131408,75,"Portugual"
"1102","3sd2p4kE7xQmFH3lPnFl6h","6rygauyIMQJrXRC4e5rQJP","sentaDONA (Remix) s2","Davi Kneip",83,"funk bh",22796,68,"Portugual"
"1103","3sd2p4kE7xQmFH3lPnFl6h","6rygauyIMQJrXRC4e5rQJP","sentaDONA (Remix) s2","Davi Kneip",83,"funk carioca",22796,68,"Portugual"
"1104","3sd2p4kE7xQmFH3lPnFl6h","6rygauyIMQJrXRC4e5rQJP","sentaDONA (Remix) s2","Davi Kneip",83,"funk consciente",22796,68,"Portugual"
"1105","3sd2p4kE7xQmFH3lPnFl6h","6rygauyIMQJrXRC4e5rQJP","sentaDONA (Remix) s2","Davi Kneip",83,"funk mtg",22796,68,"Portugual"
"1106","3sd2p4kE7xQmFH3lPnFl6h","5xKesKsXI1jv2TorLOnbbm","sentaDONA (Remix) s2","Mc Frog",83,"funk bh",88865,69,"Portugual"
"1107","3sd2p4kE7xQmFH3lPnFl6h","5xKesKsXI1jv2TorLOnbbm","sentaDONA (Remix) s2","Mc Frog",83,"funk carioca",88865,69,"Portugual"
"1108","3sd2p4kE7xQmFH3lPnFl6h","5xKesKsXI1jv2TorLOnbbm","sentaDONA (Remix) s2","Mc Frog",83,"funk mandelao",88865,69,"Portugual"
"1109","3sd2p4kE7xQmFH3lPnFl6h","5xKesKsXI1jv2TorLOnbbm","sentaDONA (Remix) s2","Mc Frog",83,"funk mtg",88865,69,"Portugual"
"1110","3sd2p4kE7xQmFH3lPnFl6h","5xKesKsXI1jv2TorLOnbbm","sentaDONA (Remix) s2","Mc Frog",83,"funk viral",88865,69,"Portugual"
"1111","3sd2p4kE7xQmFH3lPnFl6h","6HJiLhKqnOh32p3LSNWsR3","sentaDONA (Remix) s2","Dj Gabriel do Borel",83,"funk carioca",378933,68,"Portugual"
"1112","3sd2p4kE7xQmFH3lPnFl6h","4PzYKhC14sTJNEr0dzoo0d","sentaDONA (Remix) s2","Luísa Sonza",83,"funk carioca",3125970,73,"Portugual"
"1113","3sd2p4kE7xQmFH3lPnFl6h","4PzYKhC14sTJNEr0dzoo0d","sentaDONA (Remix) s2","Luísa Sonza",83,"pop nacional",3125970,73,"Portugual"
"1114","6JIC3hbC28JZKZ8AlAqX8h","3PhoLpVuITZKcymswpck5b","Cold Heart - PNAU Remix","Elton John",84,"glam rock",9404704,82,"Portugual"
"1115","6JIC3hbC28JZKZ8AlAqX8h","3PhoLpVuITZKcymswpck5b","Cold Heart - PNAU Remix","Elton John",84,"mellow gold",9404704,82,"Portugual"
"1116","6JIC3hbC28JZKZ8AlAqX8h","3PhoLpVuITZKcymswpck5b","Cold Heart - PNAU Remix","Elton John",84,"piano rock",9404704,82,"Portugual"
"1117","6JIC3hbC28JZKZ8AlAqX8h","6M2wZ9GZgrQXHCFfjv46we","Cold Heart - PNAU Remix","Dua Lipa",84,"dance pop",34229761,88,"Portugual"
"1118","6JIC3hbC28JZKZ8AlAqX8h","6M2wZ9GZgrQXHCFfjv46we","Cold Heart - PNAU Remix","Dua Lipa",84,"pop",34229761,88,"Portugual"
"1119","6JIC3hbC28JZKZ8AlAqX8h","6M2wZ9GZgrQXHCFfjv46we","Cold Heart - PNAU Remix","Dua Lipa",84,"uk pop",34229761,88,"Portugual"
"1120","6JIC3hbC28JZKZ8AlAqX8h","6n28c9qs9hNGriNa72b26u","Cold Heart - PNAU Remix","PNAU",84,"alternative dance",184406,75,"Portugual"
"1121","6JIC3hbC28JZKZ8AlAqX8h","6n28c9qs9hNGriNa72b26u","Cold Heart - PNAU Remix","PNAU",84,"aussietronica",184406,75,"Portugual"
