"","track.id","artist.id","track.name","artist.name","track.popularity","artist.followes.total","artist.popularity","toplist.country"
"727","4hJhHbkhZFnxmWbAkZRoe0","6eUKZXaKkcviH0Ku9w2n3V","Peru","Ed Sheeran",73,97986998,91,"United Kingdom"
"728","1mw0RgNXIpYRyyCdBQbLgA","6KImCVD70vtIoJWnq6nGn3","Love Of My Life","Harry Styles",88,21141704,94,"United Kingdom"
"729","1BkY0N8ChFk2mdLbAUu8ZK","2CuzDPkRD6BJBvdWqCrt2I","Pass The Dutchie","Musical Youth",72,32601,57,"United Kingdom"
"730","3rk4aJ0vAj3cFUIQEeASkT","2ysnwxxNtSgbb9t1m2Ur4j","Green Green Grass","George Ezra",74,3665368,73,"United Kingdom"
"731","69w5X6uTrOaWM32IetSzvO","6KImCVD70vtIoJWnq6nGn3","Daydreaming","Harry Styles",88,21141704,94,"United Kingdom"
"732","6JIC3hbC28JZKZ8AlAqX8h","3PhoLpVuITZKcymswpck5b","Cold Heart - PNAU Remix","Elton John",84,9404704,82,"United Kingdom"
"733","6JIC3hbC28JZKZ8AlAqX8h","6M2wZ9GZgrQXHCFfjv46we","Cold Heart - PNAU Remix","Dua Lipa",84,34229761,88,"United Kingdom"
"734","6JIC3hbC28JZKZ8AlAqX8h","6n28c9qs9hNGriNa72b26u","Cold Heart - PNAU Remix","PNAU",84,184406,75,"United Kingdom"
"735","1WCEAGGRD066z2Q89ObXTq","1Cs0zKBU1kc0i8ypK3B9ai","Crazy What Love Can Do","David Guetta",84,24322258,85,"United Kingdom"
"736","1WCEAGGRD066z2Q89ObXTq","4EPJlUEBy49EX1wuFOvtjK","Crazy What Love Can Do","Becky Hill",84,473638,76,"United Kingdom"
"737","1WCEAGGRD066z2Q89ObXTq","7nDsS0l5ZAzMedVRKPP8F1","Crazy What Love Can Do","Ella Henderson",84,1370179,74,"United Kingdom"
"738","7l9IqDtVWJurTvkQHq1BGh","45dkTj5sMRSjrmBSBeiHym","she's all i wanna be","Tate McRae",69,2815245,80,"United Kingdom"
"739","5PjdY0CKGZdEuoNab3yDmX","2tIP7SsRs7vjIcLrU85W8J","STAY (with Justin Bieber)","The Kid LAROI",87,3740595,83,"United Kingdom"
"740","5PjdY0CKGZdEuoNab3yDmX","1uNFoZAHBGtllmzznpCI3s","STAY (with Justin Bieber)","Justin Bieber",87,61412393,91,"United Kingdom"
"741","4CUX44NA1CPEzd0ibMLQsL","1H1sDUWSlytzifZTDpKgUA","Make Me Feel Good","Belters Only",76,7510,61,"United Kingdom"
"742","4CUX44NA1CPEzd0ibMLQsL","7zAAwgV5Wqmvpb4GzvlRkP","Make Me Feel Good","Jazzy",76,635,61,"United Kingdom"
"743","7jtQIBanIiJOMS6RyCx6jZ","2txHhyCwHjUEpJjWrEyqyX","Another Love","Tom Odell",54,2203333,74,"United Kingdom"
"744","4ZtFanR9U6ndgddUvNcjcG","1McMsnEElThX1knmY4oliG","good 4 u","Olivia Rodrigo",90,17356581,85,"United Kingdom"
"745","58ge6dfP91o9oXMzq3XkIS","7Ln80lUS6He07XvHI8qqHH","505","Arctic Monkeys",81,14642739,82,"United Kingdom"
"746","06JvOZ39sK8D8SqiqfaxDU","5K4W6rqBFWDnAN6FQUkS6x","True Love","Kanye West",85,17402556,90,"United Kingdom"
"747","06JvOZ39sK8D8SqiqfaxDU","15UsOTVnJzReFVN1VCnxy4","True Love","XXXTENTACION",85,36697696,86,"United Kingdom"
"748","2iHsdUnmKGIuc9oRE3DfgJ","3GxKJzJK4LpsYGXQrw77wz","House On Fire","Mimi Webb",76,224834,66,"United Kingdom"
"749","1NvpO1o8SpkdH3txtJQQc7","246dkjvS1zLTtiykXe5h60","Lemon Tree","Post Malone",74,37070325,88,"United Kingdom"
